order,id,spot,u_ppm,th_ppm,th_u,th_wr,u_wr,composition_index,t_sat,th_z_wr,u_z_wr
1,83659.1,9.1,160,91,0.57,24,2,1.34,797,3.79,80
2,83659.1,14.1,196,150,0.77,24,2,1.34,797,6.25,98
3,83659.1,6.1,403,210,0.52,24,2,1.34,797,8.75,201.5
4,83659.1,2.1,389,211,0.54,24,2,1.34,797,8.79,194.5
5,83659.1,8.1,671,259,0.39,24,2,1.34,797,10.79,335.5
6,83659.1,3.1,417,267,0.64,24,2,1.34,797,11.13,208.5
7,83659.1,4.1,807,289,0.36,24,2,1.34,797,12.04,403.5
8,83659.1,1.1,353,291,0.82,24,2,1.34,797,12.13,176.5
9,83659.1,15.1,613,327,0.53,24,2,1.34,797,13.63,306.5
10,83659.1,13.1,570,357,0.63,24,2,1.34,797,14.88,285
11,83659.1,10.1,446,377,0.85,24,2,1.34,797,15.71,223
12,83659.1,5.1,534,397,0.74,24,2,1.34,797,16.54,267
13,83659.1,7.1,1006,618,0.61,24,2,1.34,797,25.75,503
14,83659.1,11.1,1511,1173,0.78,24,2,1.34,797,48.88,755.5
15,83662.1,4.1,835,87,0.1,22,2,1.47,792,3.95,417.5
16,83662.1,9.1,424,247,0.58,22,2,1.47,792,11.23,212
17,83662.1,3.1,714,292,0.41,22,2,1.47,792,13.27,357
18,83662.1,2.1,866,312,0.36,22,2,1.47,792,14.18,433
19,83662.1,11.1,669,314,0.47,22,2,1.47,792,14.27,334.5
20,83662.1,6.1,620,400,0.65,22,2,1.47,792,18.18,310
21,83662.1,5.1,593,417,0.7,22,2,1.47,792,18.95,296.5
22,83662.1,8.1,764,526,0.69,22,2,1.47,792,23.91,382
23,83662.1,10.1,2118,567,0.27,22,2,1.47,792,25.77,1059
24,83662.1,7.1,1632,756,0.46,22,2,1.47,792,34.36,816
25,83662.1,12.1,2064,1105,0.54,22,2,1.47,792,50.23,1032
26,83666.1,9.1,157,60,0.38,16,4,1.52,815,3.75,39.25
27,83666.1,2.1,228,86,0.38,16,4,1.52,815,5.38,57
28,83666.1,16.1,224,105,0.47,16,4,1.52,815,6.56,56
29,83666.1,5.1,269,110,0.41,16,4,1.52,815,6.88,67.25
