element,element_2,a,1sigma_prop_error,1sigma_regression_error,b,1_sigma,ionic_radius,charge
y,y89,2.41,9.16,1.91,0.487,0.221,1.019,3+
nb,nb93,0.136,0.017,0.015,0.911,0.037,0.74,5+
la,la139,0.035,0.004,0.003,0.945,0.029,1.16,3+
ce,ce140,0.085,0.024,0.019,0.63,0.065,1.143,3+
pr,pr141,0.147,0.018,0.016,0.889,0.045,1.126,3+
nd,nd146,0.059,0.006,0.006,0.926,0.038,1.109,3+
sm,sm147,0.431,0.091,0.075,0.824,0.076,1.079,3+
eu,eu153,1.24,0.12,0.11,1.012,0.083,1.066,3+
gd,gd157,0.484,0.179,0.131,0.858,0.092,1.053,3+
tb,tb159,4.2,1.5,1.1,0.671,0.129,1.04,3+
dy,dy163,3.93,3.14,1.75,0.542,0.122,1.027,3+
ho,ho165,8,9.82,4.41,0.544,0.212,1.015,3+
er,er166,6.56,7.97,3.6,0.545,0.15,1.004,3+
tm,tm169,25.18,26.96,13.02,0.534,0.192,0.994,3+
yb,yb172,20.18,33.15,12.54,0.433,0.161,0.985,3+
lu,lu175,53.05,68.26,29.85,0.434,0.187,0.977,3+
