element,element_2,unit,value
Li,,ppm,1.5
Be,,ppm,0.025
B,,ppm,0.9
C,,wt%,3.5
N,,ppm,"3,180"
F,,ppm,60
Na,,ppm,5100
Mg,,wt%,9.65
Al,al27,wt%,0.86
Si,si29,wt%,10.65
P,p31,ppm,"1,080"
S,,wt%,5.4
Cl,,ppm,680
K,,ppm,550
Ca,ca43,wt%,0.925
Sc,sc45,ppm,5.92
Ti,ti49,ppm,440
V,,ppm,56
Cr,,ppm,2.65
Mn,,ppm,1.92
Fe,,wt%,18.1
Co,,ppm,500
Ni,,ppm,"10,500"
Cu,,ppm,120
Zn,,ppm,310
Ga,,ppm,9.2
Ge,,ppm,31
As,,ppm,1.85
Se,,ppm,21
Br,,ppm,3.57
Rb,,ppm,2.3
Sr,sr88,ppm,7.25
Y,y89,ppm,1.57
Zr,,ppm,3.82
Nb,nb93,ppm,0.24
Mo,,ppm,0.9
Ru,,ppm,0.71
Rh,,ppm,0.13
Pd,,ppm,0.55
Ag,,ppm,0.2
Cd,,ppm,0.71
In,,ppm,0.08
Sn,,ppm,2
Sb,,ppm,0.14
Te,,ppm,2
I,,ppm,0.45
Cs,,ppm,0.19
Ba,,ppm,2
La,la139,ppm,0.237
Ce,ce140,ppm,0.613
Pr,pr141,ppm,0.0928
Nd,nd146,ppm,0.457
Sm,sm147,ppm,0.148
Eu,eu153,ppm,0.0563
Gd,gd157,ppm,0.199
Tb,tb159,ppm,0.0361
Dy,dy163,ppm,0.246
Ho,ho165,ppm,0.0546
Er,er166,ppm,0.16
Tm,tm169,ppm,0.0247
Yb,yb172,ppm,0.161
Lu,lu175,ppm,0.0246
Hf,hf177,ppm,0.103
Ta,ta181,ppm,0.0136
W,,ppm,0.093
Re,,ppm,0.04
Os,,ppm,0.49
Ir,,ppm,0.455
Pt,,ppm,1.01
Au,,ppm,0.14
Hg,,ppm,0.3
Tl,,ppm,0.14
Pb,,ppm,2
Bi,,ppm,0.11
Th,,ppm,0.029
U,,ppm,0.0074
