sample,spot,u_ppm,th_ppm,th_u,group,terrane
100726,8.1,453.0,257.0,0.6,Yilgarn,Archean Cratons
112160,9.1,56.0,174.0,3.1,Rudall,Proterozoic Orogens
187115,38.1,21.0,29.0,1.5,Musgraves,Proterozoic Orogens
174588,6.1,77.0,70.0,0.9,Musgraves,Proterozoic Orogens
182475,23.1,89.8,30.3,0.3,Albany-Fraser Orogen,Proterozoic Orogens
184307,13.1,132.0,353.0,2.8,Albany-Fraser Orogen,Proterozoic Orogens
194381,11.1,268.2,446.2,1.7,Musgraves,Proterozoic Orogens
100758,33.1,178.0,76.0,0.4,Yilgarn,Archean Cratons
195826,28.3,3380.2,13.6,0.0,Capricon Orogen,Proterozoic Orogens
194740,31.1,52.9,1.2,0.0,Albany-Fraser Orogen,Proterozoic Orogens
194381,54.1,138.4,381.3,2.8,Musgraves,Proterozoic Orogens
194725,34.1,52.4,0.1,0.0,Albany-Fraser Orogen,Proterozoic Orogens
174737,8.2,31.0,78.0,2.6,Musgraves,Proterozoic Orogens
194381,49.1,145.9,265.3,1.9,Musgraves,Proterozoic Orogens
189540,22.1,36.8,96.5,2.7,Musgraves,Proterozoic Orogens
189540,44.1,22.4,207.0,9.5,Musgraves,Proterozoic Orogens
184307,22.2,71.0,112.0,1.6,Albany-Fraser Orogen,Proterozoic Orogens
182475,45.1,83.4,17.3,0.2,Albany-Fraser Orogen,Proterozoic Orogens
194725,23.1,60.2,0.1,0.0,Albany-Fraser Orogen,Proterozoic Orogens
174588,18.1,47.0,46.0,1.0,Musgraves,Proterozoic Orogens
194740,29.1,91.8,3.6,0.0,Albany-Fraser Orogen,Proterozoic Orogens
184312,29.1,29.0,54.0,1.9,Albany-Fraser Orogen,Proterozoic Orogens
189540,43.1,13.0,256.9,20.5,Musgraves,Proterozoic Orogens
182475,21.1,105.7,33.9,0.3,Albany-Fraser Orogen,Proterozoic Orogens
194740,15.1,41.0,0.2,0.0,Albany-Fraser Orogen,Proterozoic Orogens
184307,4.1,203.0,439.0,2.2,Albany-Fraser Orogen,Proterozoic Orogens
194725,26.1,79.9,0.2,0.0,Albany-Fraser Orogen,Proterozoic Orogens
194381,13.1,289.6,242.1,0.9,Musgraves,Proterozoic Orogens
194381,68.1,255.8,222.8,0.9,Musgraves,Proterozoic Orogens
195826,28.1,4179.4,22.1,0.0,Capricon Orogen,Proterozoic Orogens
184307,10.1,121.0,294.0,2.5,Albany-Fraser Orogen,Proterozoic Orogens
112134,17.1,1327.0,57.0,0.0,Leeuwin,Proterozoic Orogens
189540,48.1,12.2,292.9,24.8,Musgraves,Proterozoic Orogens
195826,4.8,3849.8,17.8,0.0,Capricon Orogen,Proterozoic Orogens
194740,34.1,46.8,0.4,0.0,Albany-Fraser Orogen,Proterozoic Orogens
194381,43.1,132.2,257.7,2.0,Musgraves,Proterozoic Orogens
195826,4.7,4157.3,19.4,0.0,Capricon Orogen,Proterozoic Orogens
194740,12.1,77.6,2.7,0.0,Albany-Fraser Orogen,Proterozoic Orogens
199422,40.1,31.9,0.8,0.0,Basins,Basins
184307,9.1,101.0,231.0,2.4,Albany-Fraser Orogen,Proterozoic Orogens
189540,16.2,17.0,197.4,12.0,Musgraves,Proterozoic Orogens
195826,5.1,3709.9,17.2,0.0,Capricon Orogen,Proterozoic Orogens
174588,10.2,61.0,56.0,1.0,Musgraves,Proterozoic Orogens
184307,17.1,103.0,219.0,2.2,Albany-Fraser Orogen,Proterozoic Orogens
184312,27.1,193.0,3.0,0.0,Albany-Fraser Orogen,Proterozoic Orogens
194381,62.1,107.8,221.4,2.1,Musgraves,Proterozoic Orogens
194725,31.1,38.7,0.0,0.0,Albany-Fraser Orogen,Proterozoic Orogens
195826,28.2,3824.1,16.7,0.0,Capricon Orogen,Proterozoic Orogens
101348,8.1,1027.0,934.0,0.9,Yilgarn,Archean Cratons
194740,17.1,80.1,1.8,0.0,Albany-Fraser Orogen,Proterozoic Orogens
174588,15.1,50.0,53.0,1.1,Musgraves,Proterozoic Orogens
187115,40.1,22.0,19.0,0.9,Musgraves,Proterozoic Orogens
189540,23.1,23.5,130.0,5.7,Musgraves,Proterozoic Orogens
194728,38.1,114.5,0.6,0.0,Albany-Fraser Orogen,Proterozoic Orogens
194728,26.1,110.2,1.5,0.0,Albany-Fraser Orogen,Proterozoic Orogens
182475,53.1,46.0,16.2,0.4,Albany-Fraser Orogen,Proterozoic Orogens
174737,12.1,41.0,87.0,2.2,Musgraves,Proterozoic Orogens
195826,4.6,3093.0,15.8,0.0,Capricon Orogen,Proterozoic Orogens
195826,27.1,3796.3,22.6,0.0,Capricon Orogen,Proterozoic Orogens
194725,24.1,58.2,2.0,0.0,Albany-Fraser Orogen,Proterozoic Orogens
195826,4.2,2681.7,7.9,0.0,Capricon Orogen,Proterozoic Orogens
182475,19.1,138.1,29.2,0.2,Albany-Fraser Orogen,Proterozoic Orogens
182203,23.1,151.5,363.2,2.5,Albany-Fraser Orogen,Proterozoic Orogens
194725,14.2,84.9,0.2,0.0,Albany-Fraser Orogen,Proterozoic Orogens
194381,46.1,219.2,281.2,1.3,Musgraves,Proterozoic Orogens
194728,40.1,105.3,0.6,0.0,Albany-Fraser Orogen,Proterozoic Orogens
194381,17.1,1884.4,143.3,0.1,Musgraves,Proterozoic Orogens
174737,23.2,41.0,184.0,4.6,Musgraves,Proterozoic Orogens
183492,4.1,283.0,281.0,1.0,Leeuwin,Proterozoic Orogens
184312,33.1,100.0,96.0,1.0,Albany-Fraser Orogen,Proterozoic Orogens
112134,4.1,650.0,59.0,0.1,Leeuwin,Proterozoic Orogens
112144A,17.1,109.0,75.0,0.7,Leeuwin,Proterozoic Orogens
118914,12.1,1326.0,1008.0,0.8,Rudall,Proterozoic Orogens
118937,10.1,79.0,116.0,1.5,Yilgarn,Archean Cratons
118979,4.1,241.0,110.0,0.5,Pilbara,Archean Cratons
142930,15.1,4543.0,64.0,0.0,Capricon Orogen,Proterozoic Orogens
177910,15.2,95.0,14.0,0.2,Albany-Fraser Orogen,Proterozoic Orogens
98255,3.1,370.0,95.0,0.3,Yilgarn,Archean Cratons
